max_depth,nrounds,eta,gamma,accuracy,sensitivity,specificity,positive_predictive_value,negative_predictive_value
2,100,0.01,1,0.8194613771064153,0.40956645821414717,0.9311195381338703,0.6182832524295939,0.8527066419725949
2,200,0.01,1,0.8725367082905129,0.5548537734833975,0.9203585404410812,0.5118973167753657,0.9321334070437161
2,100,0.1,1,0.8810130502724086,0.5946469633831751,0.9202877089740162,0.5057128959567985,0.9430324823283732
2,200,0.1,1,0.8807695014993031,0.5903439421582539,0.9222603356844977,0.5203549837696178,0.9403290392114083
2,100,0.15,1,0.881210141765095,0.5939441974798121,0.9213346318547411,0.5132870742626843,0.9420104889655886
2,200,0.15,1,0.8804020666450805,0.585978100996895,0.9240912140587992,0.5339051192709728,0.9376616857477038
2,100,0.2,1,0.8800501175509974,0.585930671269404,0.9229291441715367,0.5256956232565989,0.9386082189263983
2,200,0.2,1,0.8785409598355693,0.5754096138001523,0.925843888895218,0.5476835720738159,0.9332160966415297
4,100,0.01,1,0.7614672053834134,0.3455666154136657,0.951068242933036,0.7630066410554217,0.7612128092022054
4,200,0.01,1,0.8726648177607591,0.5520982102160503,0.9244117507598884,0.5410822240090533,0.9274597969464873
4,100,0.1,1,0.8796207396562161,0.5791377374963622,0.9266964980671467,0.5531234799527482,0.9335753527353496
4,200,0.1,1,0.8794771444258302,0.5760635623051393,0.9288606973318055,0.5685894954187638,0.93085222435297
4,100,0.15,1,0.8793462193628313,0.5763011237323751,0.9281405121449318,0.563566514786027,0.9315297255709958
4,200,0.15,1,0.879738994551828,0.5755804770178486,0.9303273708856977,0.5787744324329691,0.9294742557739344
4,100,0.2,1,0.8792673827657568,0.5744228341996204,0.9295762404688138,0.5737613786394274,0.9297531303673107
4,200,0.2,1,0.8799318626553855,0.5757608450455576,0.9309089355015279,0.5827451681110218,0.9290428203735935
6,100,0.01,1,0.7693086311995833,0.35677402375831496,0.9548744346292638,0.7805275122348295,0.7674546787774794
6,200,0.01,1,0.8723748117072346,0.5475631045057797,0.9293312705280836,0.5760346248151125,0.9213458815964094
6,100,0.1,1,0.8823589036081821,0.5874861177621323,0.9296337859757622,0.5723815479913043,0.9335835549292725
6,200,0.1,1,0.8822969605676235,0.5849914160108763,0.931445745380692,0.5851772437138292,0.9313968500294459
6,100,0.15,1,0.8821055002604423,0.5849828463977436,0.9307758978030675,0.5805811171664832,0.931933273511999
6,200,0.15,1,0.8823490490335478,0.584216413517014,0.9322895265394945,0.5910539325173472,0.9304864065040117
6,100,0.2,1,0.8820055467177228,0.5838021473000278,0.9314139613959427,0.5851176826786584,0.9310671218337481
6,200,0.2,1,0.8824729351146651,0.5841034939946966,0.9328313758527299,0.5947665703763264,0.9300172410116258
