max_depth,nrounds,eta,gamma,brier_score,auc
6,100,0.14,0.6,0.19185431455931803,0.7773781507372366
6,200,0.14,0.6,0.1883978051064355,0.7859872778091334
6,100,0.15000000000000002,0.6,0.19141215476608012,0.7783784754600054
6,200,0.15000000000000002,0.6,0.1876767681766644,0.7875631896282257
6,100,0.16,0.6,0.1908639440848661,0.779713979947326
6,200,0.16,0.6,0.18726003045722547,0.7886004898641331
6,100,0.17,0.6,0.1907043933860356,0.7800894935859911
6,200,0.17,0.6,0.1870121317783178,0.7892083855660367
6,100,0.18,0.6,0.19018235539163542,0.7813329180570224
6,200,0.18,0.6,0.1866668206348205,0.7899032673483526
6,100,0.19,0.6,0.19005465212921677,0.7816744065421903
6,200,0.19,0.6,0.1864038627228075,0.7906239687496589
6,100,0.2,0.6,0.18940668759211038,0.7831042121030584
6,200,0.2,0.6,0.18571875937036458,0.7920758065786793
3,100,0.1,1,0.20295246737975825,0.7462697807255445
3,200,0.1,1,0.20026842887543864,0.7539244426206889
3,100,0.11,1,0.20262963607129958,0.7472051602668507
3,200,0.11,1,0.19992438151559422,0.7549762118000327
3,100,0.12000000000000001,1,0.2021712725661876,0.7485849289757438
3,200,0.12000000000000001,1,0.19938481503428407,0.7566398162480001
3,100,0.13,1,0.2020044230990167,0.7487482118939451
3,200,0.13,1,0.1992835287659358,0.7567341000599528
3,100,0.14,1,0.20152446749241038,0.7502776148956686
3,200,0.14,1,0.19885947007626462,0.7580802761359928
3,100,0.15000000000000002,1,0.20133666507315712,0.7508860151069131
3,200,0.15000000000000002,1,0.19892035600428132,0.7578908132630082
3,100,0.16,1,0.20105764536753826,0.7518091134157783
3,200,0.16,1,0.1981518498961958,0.7600450687374323
3,100,0.17,1,0.2010169673072046,0.7517674396103633
3,200,0.17,1,0.19806900036208433,0.7602731661982077
3,100,0.18,1,0.20037292923804118,0.753693220026624
3,200,0.18,1,0.19780975892406857,0.7609758637560645
3,100,0.19,1,0.20039434584142615,0.7537383873434553
3,200,0.19,1,0.19744245914715297,0.7620757812119809
3,100,0.2,1,0.20029518437164065,0.7540099404770072
3,200,0.2,1,0.19722526625828377,0.7626272211024717
4,100,0.1,1,0.19917648229991602,0.7573188973940663
4,200,0.1,1,0.19640263981756484,0.7650647438602662
4,100,0.11,1,0.19889035208777103,0.75818571917672
4,200,0.11,1,0.19584164509293536,0.7666790960742074
4,100,0.12000000000000001,1,0.1989336625076862,0.7579440384100176
4,200,0.12000000000000001,1,0.1954764345697169,0.7675592653850941
4,100,0.13,1,0.19844478132915683,0.7593888238967611
4,200,0.13,1,0.19524948573874587,0.7682118309560496
4,100,0.14,1,0.19813734743954783,0.7601813698213068
4,200,0.14,1,0.19519962934680007,0.7682446064093091
4,100,0.15000000000000002,1,0.19786052055430897,0.7610930242812366
4,200,0.15000000000000002,1,0.19450737454615574,0.770130375233279
4,100,0.16,1,0.19757165296064882,0.7617334486740549
4,200,0.16,1,0.19479073087798188,0.769288108069328
4,100,0.17,1,0.19689621519439898,0.763700268532119
4,200,0.17,1,0.19373303849159731,0.7722139038727314
4,100,0.18,1,0.19698045184217783,0.7634099530257159
4,200,0.18,1,0.194131253088328,0.7711160889967628
4,100,0.19,1,0.19685137781560372,0.7636906365621816
4,200,0.19,1,0.19356976941638365,0.7724480542686716
4,100,0.2,1,0.19624553086757443,0.7653562078511917
4,200,0.2,1,0.19320009610659009,0.7734253280930364
5,100,0.1,1,0.19625304397909393,0.7656900490575232
5,200,0.1,1,0.1932267529909584,0.7736067307819892
5,100,0.11,1,0.19587895869832467,0.7666660137468407
5,200,0.11,1,0.1925582724338442,0.775303500049873
5,100,0.12000000000000001,1,0.1954278759563375,0.7677448667608445
5,200,0.12000000000000001,1,0.1920706874664671,0.776615582122191
5,100,0.13,1,0.19508067394337655,0.7687169036527111
5,200,0.13,1,0.19225818469714712,0.7761589003452027
5,100,0.14,1,0.19473140587855747,0.7696983751831011
5,200,0.14,1,0.19175399270223373,0.7773661360787435
5,100,0.15000000000000002,1,0.19464566042276038,0.7699951051373889
5,200,0.15000000000000002,1,0.1914549646652219,0.7781948134636696
5,100,0.16,1,0.1941910417200611,0.7710007052389354
5,200,0.16,1,0.19095488204137404,0.7792975412249236
5,100,0.17,1,0.1940295720854591,0.7714993403414828
5,200,0.17,1,0.1907683281623911,0.7798153488593549
5,100,0.18,1,0.19361154876986977,0.772397071755914
5,200,0.18,1,0.1905699733582962,0.7802383991649016
5,100,0.19,1,0.1932390840671881,0.77340765967376
5,200,0.19,1,0.19036125242131058,0.7807102391721941
5,100,0.2,1,0.1929719200326985,0.7742045072662092
5,200,0.2,1,0.18960151887971,0.7826858916706605
6,100,0.1,1,0.1932711874998633,0.7737444900783212
6,200,0.1,1,0.18988961792053993,0.7823998456628248
6,100,0.11,1,0.19307373345954812,0.7741928113587577
6,200,0.11,1,0.18952152075899298,0.7831934508216013
6,100,0.12000000000000001,1,0.19256166866136942,0.7755762528642685
6,200,0.12000000000000001,1,0.1888517901875847,0.7849834948827559
6,100,0.13,1,0.1917239154157326,0.7776204427213209
6,200,0.13,1,0.18844294429867622,0.7858292996928827
6,100,0.14,1,0.1915919323787861,0.7779437778933201
6,200,0.14,1,0.18807293071858316,0.7867110474589277
6,100,0.15000000000000002,1,0.19126130169077254,0.778657053866515
6,200,0.15000000000000002,1,0.188245666191773,0.7861215453594396
6,100,0.16,1,0.19134455838924483,0.778573529520492
6,200,0.16,1,0.18735520651484008,0.7885527468427309
6,100,0.17,1,0.19071970865776017,0.7800451065717098
6,200,0.17,1,0.18692621875603016,0.7893227383358796
6,100,0.18,1,0.1902406777934327,0.7811278499176574
6,200,0.18,1,0.18605139715992505,0.7914336356263073
6,100,0.19,1,0.19047992370918504,0.7805869798117072
6,200,0.19,1,0.18651508969773714,0.7903356561767241
6,100,0.2,1,0.18968628203252147,0.7825239539799321
6,200,0.2,1,0.1859356598964744,0.7917007590030757
